,State,City,Population,Violent Crime,Murder,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Total
0,Alabama,Mobile3,248431,740.25,20.13,58.16,177.11,485.85,5453.83,1216.84,3730.21,506.78,6217.02
1,Alaska,Anchorage,296188,1203.29,9.12,132.01,262.67,799.49,5415.82,748.17,3619.66,1047.98,6640.04
2,Arizona,Chandler,249355,259.47,2.01,52.13,56.95,148.68,2329.61,314.41,1866.01,149.18,2589.08
3,Arizona,Gilbert,242090,85.51,2.07,16.11,21.07,46.26,1385.85,192.49,1137.59,55.76,1483.75
4,Arizona,Glendale,249273,488.22,4.81,38.91,192.96,251.53,4530.37,637.45,3426.36,466.56,5037.85
5,Arizona,Mesa,492268,415.83,4.67,51.19,92.23,267.74,2171.99,381.5,1610.91,179.58,2592.49
6,Arizona,Phoenix,1608139,760.93,9.55,69.46,200.28,481.64,3670.71,778.57,2426.69,465.46,4443.2
7,Arizona,Scottsdale,251840,157.24,1.99,40.9,39.71,74.65,2172.01,348.63,1725.7,97.68,2338.38
8,Arizona,Tucson,532323,801.77,8.64,93.55,268.82,430.75,5251.7,831.07,3968.46,452.17,6082.78
9,California,Anaheim,353400,354.56,2.83,32.54,135.82,183.36,2630.45,382.29,1809.0,439.16,2997.74
10,California,Bakersfield,381154,479.33,10.76,24.14,197.56,246.88,4068.43,962.08,2377.78,728.58,4618.34
11,California,Chula Vista,271109,298.04,0.74,22.87,112.13,162.3,1432.27,236.07,915.5,280.7,1738.79
12,California,Fremont,236368,182.34,0.85,28.77,79.11,73.61,2150.46,284.73,1499.78,365.95,2343.8
13,California,Fresno,526371,565.0,10.64,33.06,182.0,339.3,3841.4,693.24,2618.31,529.85,4447.63
14,California,Irvine,276115,61.21,0.72,16.66,19.92,23.9,1316.48,227.08,1019.14,70.26,1381.31
15,California,Long Beach,471397,657.83,4.67,43.06,262.41,347.69,2672.48,586.55,1507.01,578.92,3357.25
16,California,Los Angeles,3898747,761.31,7.01,61.27,269.87,423.17,2535.92,415.96,1640.99,478.97,3332.52
17,California,Oakland,424915,1299.32,16.24,94.14,629.77,559.17,5982.84,617.06,4072.58,1293.2,7328.29
18,California,Riverside,328023,508.81,3.66,50.61,165.84,288.7,3058.32,510.03,2020.89,527.4,3589.38
19,California,Sacramento,499997,675.6,7.8,19.8,220.0,428.0,2936.62,577.6,1815.41,543.6,3654.02
20,California,San Bernardino,217259,1291.09,15.65,72.72,403.67,799.05,3867.73,983.16,1836.52,1048.06,5189.66
21,California,San Diego,1386932,366.61,2.46,39.25,99.01,225.89,1842.97,268.03,1214.37,360.57,2220.67
22,California,San Francisco,881255,715.0,6.35,41.65,365.39,301.62,6168.02,560.0,5059.49,548.54,6917.4
23,California,San Jose,1013240,403.65,3.08,55.03,132.62,212.91,2440.7,378.4,1284.69,777.62,2861.02
24,California,Santa Ana,335699,488.53,6.26,56.0,180.22,246.05,2090.27,276.74,1223.72,589.81,2596.67
25,California,Santa Clarita,216350,162.7,1.85,18.49,56.39,85.97,1424.08,311.53,923.04,189.51,1592.79
26,California,Stockton4,309566,1414.56,17.77,49.75,390.22,956.82,3627.34,691.29,2274.15,661.89,5109.09
27,Colorado,Aurora,368018,608.39,8.15,86.68,184.5,329.06,3003.66,454.05,1954.8,594.81,3630.53
28,Colorado,Colorado Springs,472958,524.15,6.13,103.39,101.91,312.71,3216.78,530.28,2235.08,451.41,3765.25
29,Colorado,Denver,706616,675.61,8.35,98.92,174.35,393.99,3667.06,612.92,2267.29,786.85,4360.93
30,District of Columbia,"Washington, D.C.",693972,948.74,16.72,63.84,338.77,529.42,4156.22,260.53,3528.96,366.73,5104.96
31,Florida,Hialeah,238260,198.52,2.52,13.85,64.64,117.52,2213.55,248.89,1677.16,287.5,2422.14
32,Florida,Jacksonville,894638,631.32,12.18,60.14,153.81,405.19,3526.68,631.09,2568.64,326.95,4168.73
33,Florida,Miami,463009,720.94,11.23,22.68,211.23,475.8,4014.18,526.99,3090.87,396.32,4750.89
34,Florida,Orlando,283982,744.06,8.1,64.44,213.04,458.48,5454.57,840.9,4125.26,488.41,6206.38
35,Florida,St. Petersburg,263712,698.49,7.58,51.57,189.22,450.11,4312.66,671.95,3269.85,370.86,5029.35
36,Florida,Tampa,384360,464.41,10.15,31.48,105.63,317.15,1743.68,321.31,1274.85,147.52,2218.24
37,Georgia,Columbus,481343,935.72,16.41,58.59,293.55,567.16,4776.43,704.28,3387.19,684.96,5727.52
38,Georgia,Savannah,242941,462.66,14.41,41.16,156.83,250.27,3431.29,549.52,2494.84,386.93,3901.36
39,Hawaii,Honolulu,990384,246.37,3.23,28.78,91.68,122.68,2774.38,336.33,2073.94,364.1,3053.77
40,Idaho,Boise,225677,279.16,0.89,63.81,22.6,191.87,2444.64,326.13,1965.2,153.32,2741.97
41,Illinois,Chicago,2746388,1098.86,18.26,65.11,439.26,570.36,3263.8,477.13,2358.83,427.84,4381.65
42,Indiana,Fort Wayne,266259,357.55,13.9,51.08,112.3,180.28,3179.61,491.25,2488.55,199.81,3572.46
43,Indiana,Indianapolis,870788,1333.96,17.91,76.71,400.21,839.13,4411.87,1027.23,2821.47,563.17,5775.23
44,Iowa,Des Moines,217277,670.11,12.89,33.6,167.53,456.1,4413.26,1099.06,2734.3,579.9,5102.7
45,Kansas,Garden City,391084,1022.29,8.95,97.68,153.16,762.5,5535.64,838.95,4063.07,633.62,6583.5
46,Kentucky,Lexington,322332,350.88,9.0,62.05,169.7,110.13,3782.13,647.47,2739.72,394.93,4145.73
47,Kentucky,Louisville Metro6,684362,647.03,15.93,25.57,193.76,411.77,4122.23,821.64,2735.98,564.61,4769.99
48,Louisiana,Baton Rouge,227403,1026.81,38.26,43.97,381.7,562.88,5594.03,1418.63,3739.62,435.79,6693.84
49,Louisiana,New Orleans,397447,1121.41,39.5,144.67,329.1,608.13,4243.84,560.83,3046.19,636.81,5375.57
50,Maryland,Baltimore,613217,2027.01,55.77,62.29,958.71,950.23,4928.11,1311.28,2773.57,843.26,6997.68
51,Massachusetts,Boston,682903,669.2,8.35,42.47,205.59,412.8,2089.02,308.83,1603.74,176.45,2758.22
52,Michigan,Detroit,670792,2056.67,39.8,103.91,393.42,1519.55,4540.6,1231.08,2093.79,1215.73,6726.82
53,Minnesota,Minneapolis,418971,1101.27,10.02,122.68,434.16,534.4,4641.37,897.91,3173.49,569.97,5768.18
54,Minnesota,St. Paul,306696,650.81,7.17,70.75,227.26,345.62,3565.42,741.45,2144.47,679.5,4262.86
55,Missouri,Kansas City,484948,1724.31,30.93,91.76,383.13,1218.48,4543.79,960.52,2670.39,912.88,6309.55
56,Missouri,St. Louis,310284,2082.29,66.07,93.14,626.52,1296.55,6041.24,1011.33,4155.55,874.36,8188.31
57,Nebraska,Omaha,449388,647.32,6.9,91.24,139.08,410.11,3880.17,464.63,2636.7,778.84,4527.49
58,Nevada,Henderson,299285,185.11,3.34,28.74,80.19,72.84,1833.04,363.87,1254.99,214.18,2025.17
59,Nevada,Las Vegas,627244,618.9,12.6,79.64,211.15,315.5,2943.38,805.17,1635.16,503.06,3567.87
60,Nevada,Paradise,242537,1014.69,9.07,47.83,232.95,724.84,2386.03,804.0,1037.37,544.66,3405.26
61,Nevada,Reno,248531,673.56,7.64,57.14,153.7,455.07,3085.73,541.98,1967.56,576.19,3766.53
62,New Jersey,Jersey City,267906,509.51,7.84,45.91,199.32,256.43,1806.98,417.68,1206.02,183.27,2330.67
63,New Jersey,Newark,283673,896.45,27.14,40.89,377.19,451.22,2395.01,423.73,1128.06,843.22,3316.84
64,New Mexico,Albuquerque,561375,1369.14,12.47,84.26,521.93,750.48,7365.84,1246.23,4750.84,1368.78,8734.98
65,New York,Buffalo,256169,1019.25,15.61,55.43,334.54,613.66,3836.14,919.71,2591.26,325.18,4930.34
